1/5 tests.test_0...OK
2/5 transformer.test.perf whole MiMo interleaved decode...[expert-exl3] engaged K=2.5 codebook=tiny window=12
[expert-exl3] engaged K=2.5 codebook=tiny window=12
[mimo-source] loading original shards: resident EXL3 experts, in-memory affine8 trunk and split QKV
Precomputing MoE layer weights...
Batch eval all weights: 0ms
MoE routing compiled (hy3 sigmoid variant)
[perf-model] loaded corrected EXL3 ctx=8192 kv=8 mtp=false
[dtype-trace] moe: residual in = bfloat16, first weight = uint32
[mlp] fused SwiGLU kernel engaged: n=16777216 tg=256
[moe] fused router kernel engaged: mode=sigmoid_bias E=256 K=8 tg=256
[exl3-prefill] GPU window metadata engaged experts=256 win=32
[exl3-gemm] win=32 aligned=1 nwin=512 mixed=0 n=8192
[exl3-gemm] n40 two-funnel reader engaged dtype=float16
[exl3-prefill] sorted finish/reduce engaged dtype=bfloat16
[dtype-trace] moe: residual out = bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] prepared mid engaged dtype=bfloat16 middle=f16 after down-input Hadamard
[perf-width] rows=6 round=1 rep=25 arm=0 ns=119873916
[perf-width] rows=6 round=1 rep=26 arm=0 ns=120087709
[perf-width] rows=6 round=1 rep=26 arm=1 ns=110394708
[perf-width] rows=6 round=1 rep=27 arm=1 ns=112008250
[perf-width] rows=6 round=1 rep=27 arm=0 ns=119779708
[perf-width] rows=6 round=1 rep=28 arm=0 ns=119686833
[perf-width] rows=6 round=1 rep=28 arm=1 ns=110684417
[perf-width] rows=6 round=1 rep=29 arm=1 ns=111148041
[perf-width] rows=6 round=1 rep=29 arm=0 ns=120275916
[perf-width] rows=6 round=2 rep=30 arm=0 ns=120573833
[perf-width] rows=6 round=2 rep=30 arm=1 ns=111290292
[perf-width] rows=6 round=2 rep=31 arm=1 ns=112708500
[perf-width] rows=6 round=2 rep=31 arm=0 ns=122006708
[perf-width] rows=6 round=2 rep=32 arm=0 ns=121016500
[perf-width] rows=6 round=2 rep=32 arm=1 ns=111060250
[perf-width] rows=6 round=2 rep=33 arm=1 ns=112514708
[perf-width] rows=6 round=2 rep=33 arm=0 ns=119660667
[perf-width] rows=6 round=2 rep=34 arm=0 ns=121067458
[perf-width] rows=6 round=2 rep=34 arm=1 ns=110750167
[perf-width] rows=6 round=2 rep=35 arm=1 ns=111799958
[perf-width] rows=6 round=2 rep=35 arm=0 ns=122773958
[perf-width] rows=6 round=2 rep=36 arm=0 ns=121414708
[perf-width] rows=6 round=2 rep=36 arm=1 ns=113229750
[perf-width] rows=6 round=2 rep=37 arm=1 ns=111824792
[perf-width] rows=6 round=2 rep=37 arm=0 ns=121353250
[perf-width] rows=6 round=2 rep=38 arm=0 ns=121590667
